,lname,lStreetNumber,lStreetAddress,lExtraInfo,lCity,lState,rname,rStreetNumber,rStreetAddress,rExtraInfo,rCity,rState
5,15 Romolo,15.0,Romolo Place,,San Francisco,CA,15 Romolo,15.0,Romolo Pl,,San Francisco,CA
6,456 Shanghai Cuisine,69.0,Mott St,,New York,NY,Shanghai Asian Manor,21.0,Mott St,,New York,NY
7,5A5 Steak Lounge,244.0,Jackson St,,San Francisco,CA,Delicious Dim Sum,752.0,Jackson St,,San Francisco,CA
8,9th Street Pizza,231.0,E 9th St,,Los Angeles,CA,Han Bat Sul Lung Tang,4163.0,W 5th St,,Los Angeles,CA
9,9th Street Pizza,231.0,E 9th St,,Los Angeles,CA,Jun Won Restaurant,3100.0,W 8th St,,Los Angeles,CA
10,9th Street Pizza,231.0,E 9th St,,Los Angeles,CA,Men Oh Tokushima Ramen,456.0,E 2nd St,,Los Angeles,CA
11,9th Street Pizza,231.0,E 9th St,,Los Angeles,CA,Spear Steak & Seafood House,800.0,W 6th St,,Los Angeles,CA
12,9th Street Pizza,231.0,E 9th St,,Los Angeles,CA,Yang Ban Sul Lung Tang Restaurant,716.0,E 9th Pl,,Los Angeles,CA
13,ABC Seafood,205.0,Ord St,,Los Angeles,CA,AOC,8700.0,W 3rd St,,Los Angeles,CA
14,ABC Seafood,205.0,Ord St,,Los Angeles,CA,BAR Ama,118.0,W 4th St,,Los Angeles,CA
15,ABC Seafood,205.0,Ord St,,Los Angeles,CA,Spear Steak & Seafood House,800.0,W 6th St,,Los Angeles,CA
16,Acquerello,1722.0,Sacramento St,,San Francisco,CA,Acquerello,1722.0,Sacramento St,,San Francisco,CA
17,AJ Bombers,201.0,W Gorham St,,Madison,WI,AJ Bombers,201.0,W Gorham St,,Madison,WI
18,Al's Place,1499.0,Valencia St,,San Francisco,CA,Pica Pica Arepa Kitchen,401.0,Valencia St,,San Francisco,CA
19,Alcove Cafe & Bakery,1929.0,Hillhurst Ave,,Los Angeles,CA,Alcove Caf & Bakery,1929.0,Hillhurst Ave,,Los Angeles,CA
20,Allende Restaurant,2408.0,N. Lincoln Ave,,Chicago,IL,Via Lima,4024.0,N Lincoln Ave,,Chicago,IL
21,Alta CA,1420.0,Market St,,San Francisco,CA,Pasta Moto,845.0,Market St,,San Francisco,CA
22,Anella,222.0,Franklin St,,Brooklyn,NY,Anella,222.0,Franklin St,,Brooklyn,NY
23,Angel Cafe & Deli,700.0,Geary St,,San Francisco,CA,Hong Kong Lounge,5322.0,Geary Blvd,,San Francisco,CA
24,Angel Cafe & Deli,700.0,Geary St,,San Francisco,CA,Hong Kong Lounge II,3300.0,Geary Blvd,,San Francisco,CA
25,Anima Pizza & Pasta,698.0,S Vermont Ave,,Los Angeles,CA,Dok Dok Chicken,401.0,S Vermont Ave,,Los Angeles,CA
26,Ann Sather,909.0,W. Belmont Ave,,Chicago,IL,Fahlstroms Fresh Fish Market,1258.0,W Belmont Ave,,Chicago,IL
27,Arby's,601.0,S Gammon Rd,,Madison,WI,Chang Jiang,646.0,S Gammon Rd,,Madison,WI
28,Aroma Bar and Grill,7373.0,W Sunset Blvd,,Los Angeles,CA,Aroma Restaurant,2903.0,W Sunset Blvd,,Los Angeles,CA
29,Asiento,2730.0,21st St,,San Francisco,CA,Asiento,2730.0,21st St,,San Francisco,CA
30,Athens Gyros,1860.0,E Washington Ave,,Madison,WI,Hong Kong Buffet,2817.0,E Washington Ave,,Madison,WI
31,Atomic Wings,528.0,9th Ave,,New York,NY,Yum Yum Bangkok,650.0,9th Ave,,New York,NY
32,Avec,615.0,W. Randolph St,,Chicago,IL,Avec,615.0,W Randolph St,,Chicago,IL
33,Babes Madison,5614.0,Schroeder Rd,,Madison,WI,Babes Grill & Bar,5614.0,Schroeder Rd,,Madison,WI
34,Baby Blues BBQ,3149.0,Mission St,,San Francisco,CA,Old Bus Taver,3193.0,Mission St,,San Francisco,CA
35,Baby Blues BBQ,3149.0,Mission St,,San Francisco,CA,The Crafty Fox Ale House,1700.0,Mission St,,San Francisco,CA
36,Bahn Thai Restaurant,944.0,Williamson St,,Madison,WI,Lao Laan,1146.0,Williamson St,,Madison,WI
37,Bahn Thai Restaurant,944.0,Williamson St,,Madison,WI,Wah Kee Wonton Noodle,600.0,Williamson St,,Madison,WI
38,Bar Pastoral,2947.0,N. Broadway St,,Chicago,IL,Ping Pong,3322.0,N Broadway St,,Chicago,IL
39,Bari,1120.0,W. Grand Ave,,Chicago,IL,Bari,1120.0,W Grand Ave,,Chicago,IL
40,Bari,1120.0,W. Grand Ave,,Chicago,IL,Jeta Skin Care and Laser Center,1851.0,W Grand Ave,,Chicago,IL
41,Barriques Coffee,127.0,W Washington Ave,,Madison,WI,Hong Kong Buffet,2817.0,E Washington Ave,,Madison,WI
