ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS
1445980000001,1,5.0,(800) 586-5735,38,"867 N H3rm!t@93 Av3, Ch!c@9o, IL 60622"
1445980000002,326,3.5,(323) 549-2156,33,"6333 3rd St, Lo$ A&93l3$, CA 90036"
1445980000003,1760,4.0,(415) 359-1212,454,"1760 Polk St, S@& Fr@&c!$co, CA 94109"
1445980000004,�� ,4.0,(773) 866-9898,185,"2977 N El$to& Av3, Ch!c@9o, IL 60618"
1445980000005,���D!$!@c Lou&93 ,3.5,(212) 586-9880,164,"402 W 54th St, N3w York, NY 10019"
1445980000006,���Ģ T.'$ r3v!3w of B3lly Good C@f3 & Cr3p3,4.5,(415) 346-8383,843,"1737 Po$t St, S@& Fr@&c!$co, CA 94115"
1445980000007,��!r3Tr3@ ,4.0,(415) 967-2726,63,"S@& Fr@&c!$co, CA 94109"
1445980000008,103 R3$t@ur@&t ,4.0,(213) 488-1096,166,"811 W 7th St, Lo$ A&93l3$, CA 90017"
1445980000009,10th & Wood ,4.0,(510) 645-1955,275,"945 Wood St, O@kl@&d, CA 94607"
1445980000010,11th Str33t C@f3 ,3.5,(212) 924-3804,94,"327 W 11th St, N3w York, NY 10014"
1445980000011,1300 o& F!llmor3 ,4.0,(415) 771-7100,1168,"1300 F!llmor3 St, S@& Fr@&c!$co, CA 94115"
1445980000012,1428 HAIGHT ,4.0,(415) 864-8484,105,"1428 H@!9ht St, S@& Fr@&c!$co, CA 94117"
1445980000013,15 Romolo ,4.0,(415) 398-1359,894,"15 Romolo Pl, S@& Fr@&c!$co, CA 94133"
1445980000014,1601 B@r & K!tch3& ,4.0,(415) 552-1601,139,"1601 How@rd St, S@& Fr@&c!$co, CA 94103"
1445980000015,1810 Ar93&t!&3@& R3$t@ur@&t ,4.0,(213) 623-1810,139,"105 W 9th St, Lo$ A&93l3$, CA 90015"
