ID,NAME,PHONENUMBER,ADDRESS,CITY,STATE,PHONEAREACODE
1445980000001,1,(800) 586-5735,"867 N Hermitage Ave, Chicago, IL 60622",Chicago,IL,800586
1445980000002,326,(323) 549-2156,"6333 3rd St, Los Angeles, CA 90036",Los Angeles,CA,323549
1445980000003,1760,(415) 359-1212,"1760 Polk St, San Francisco, CA 94109",San Francisco,CA,415359
1445980000004,�� ,(773) 866-9898,"2977 N Elston Ave, Chicago, IL 60618",Chicago,IL,773866
1445980000005,���Disiac Lounge ,(212) 586-9880,"402 W 54th St, New York, NY 10019",New York,NY,212586
1445980000006,���Ģ T.'s review of Belly Good Cafe & Crepe,(415) 346-8383,"1737 Post St, San Francisco, CA 94115",San Francisco,CA,415346
1445980000007,��ireTrea ,(415) 967-2726,"San Francisco, CA 94109",San Francisco,CA,415967
1445980000008,10e Restaurant ,(213) 488-1096,"811 W 7th St, Los Angeles, CA 90017",Los Angeles,CA,213488
1445980000009,10th & Wood ,(510) 645-1955,"945 Wood St, Oakland, CA 94607",Oakland,CA,510645
1445980000010,11th Street Cafe ,(212) 924-3804,"327 W 11th St, New York, NY 10014",New York,NY,212924
1445980000011,1300 on Fillmore ,(415) 771-7100,"1300 Fillmore St, San Francisco, CA 94115",San Francisco,CA,415771
1445980000012,1428 HAIGHT ,(415) 864-8484,"1428 Haight St, San Francisco, CA 94117",San Francisco,CA,415864
1445980000013,15 Romolo ,(415) 398-1359,"15 Romolo Pl, San Francisco, CA 94133",San Francisco,CA,415398
1445980000014,1601 Bar & Kitchen ,(415) 552-1601,"1601 Howard St, San Francisco, CA 94103",San Francisco,CA,415552
1445980000015,1810 Argentinean Restaurant ,(213) 623-1810,"105 W 9th St, Los Angeles, CA 90015",Los Angeles,CA,213623
1445980000016,1847 At the Stamm House ,(608) 203-9430,"6625 Century Ave, Middleton, WI 53562",Middleton,WI,608203
1445980000017,1855 Saloon and Grill ,(608) 839-3700,"218 S. Main Street, Cottage Grove, WI 53527",Cottage Grove,WI,608839
1445980000018,2 White Crew Cleaning ,(773) 634-0830,"3038 N Honore St, Chicago, IL 60657",Chicago,IL,773634
1445980000019,20 Spot ,(415) 624-3140,"3565 20th St, San Francisco, CA 94110",San Francisco,CA,415624
1445980000020,21 Home�۪s Kitchen ,(212) 475-5049,"22 E 21st St, New York, NY 10010",New York,NY,212475
1445980000021,21 Shanghai House ,(212) 226-8998,"21 Division St, New York, NY 10002",New York,NY,212226
1445980000022,23rd Street Cafe ,(213) 749-1593,"936 W 23rd St, Los Angeles, CA 90007",Los Angeles,CA,213749
1445980000023,24Karrots Juice Bar ,(773) 770-3865,"2004 W Armitage Ave, Chicago, IL 60647",Chicago,IL,773770
1445980000024,25 Degrees ,(312) 943-9700,"736 N Clark St, Chicago, IL 60654",Chicago,IL,312943
1445980000025,25 Degrees ,(323) 785-7244,"7000 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,CA,323785
1445980000026,25 Degrees ,(323) 785-7244,"7000 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,CA,323785
1445980000027,2nd Wind Exercise ,(608) 286-1111,"434 Gammon Place, Madison, WI 53719",Madison,WI,608286
1445980000028,33 Taps ,(323) 962-1400,"6263 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,CA,323962
1445980000029,3639 Wrigley Rooftop ,(312) 382-9100,"3639 N Sheffield Ave, Chicago, IL 60687",Chicago,IL,312382
1445980000030,4 Day Furniture ,(608) 709-1244,"4636 E Washington, Madison, WI 53704",Madison,WI,608709
1445980000031,4&20 Bakery & Cafe ,(608) 819-8893,"305 N 4th St, Madison, WI 53704",Madison,WI,608819
1445980000032,43 North ,(608) 255-4343,"108 King St, Madison, WI 53703",Madison,WI,608255
1445980000033,4505 Burgers & BBQ ,(415) 231-6993,"705 Divisadero St, San Francisco, CA 94117",San Francisco,CA,415231
1445980000034,4505 Meats ,(415) 255-3094,"1 Ferry Building, San Francisco, CA 94111",San Francisco,CA,415255
1445980000035,49th and 6th Halal Food Truck ,1445980000000,"49th St at 6th Ave, New York, NY 10019",New York,NY,212586
1445980000036,5100 Bar & Grill ,(608) 223-5100,"5100 Erling Ave, Mcfarland, WI 53558",Mcfarland,WI,608223
1445980000037,54 Gourmet ,(212) 767-0009,"250 W 54th St, New York, NY 10019",New York,NY,212767
1445980000038,5411 Empanadas ,(773) 755-5411,"Chicago, IL",Chicago,IL,773755
1445980000039,5i Indochine Cuisine ,(310) 572-6000,"5407 Sepulveda Blvd, Culver City, CA 90230",Culver City,CA,310572
1445980000040,5th Element Coffee ,(608) 604-0552,"2510 University Ave, Madison, WI 53705",Madison,WI,608604
1445980000041,5th Quarter Sports Bar & Grill ,(608) 845-9690,"161 Horizon Dr, Verona, WI 53593",Verona,WI,608845
1445980000042,6 Degrees ,(773) 904-8812,"1935 N Damen, Chicago, IL 60647",Chicago,IL,773904
1445980000043,608 Restaurant and Bar ,(608) 250-5150,"212 State St, Madison, WI 53703",Madison,WI,608250
1445980000044,61 Local ,(718) 875-1150,"61 Bergen St, Brooklyn, NY 11201",Brooklyn,NY,718875
1445980000045,694 Wine & Spirits ,(312) 492-6620,"694 N Milwaukee Ave, Chicago, IL 60642",Chicago,IL,312492
1445980000046,707 Sutter ,(415) 346-7979,"707 Sutter St, San Francisco, CA 94109",San Francisco,CA,415346
1445980000047,8th Avenue Holiday Market ,1445980000000,"46th St 8th Ave, New York, NY 10036",New York,NY,212586
1445980000048,9021PHO ,(323) 656-9021,"7950 W Sunset Blvd, West Hollywood, CA 90046",West Hollywood,CA,323656
1445980000049,99 Cents the Limit Incorporated ,(718) 891-8283,"2845 Coney Island Ave, Brooklyn, NY 11235",Brooklyn,NY,718891
1445980000050,99 Favor Taste ,(646) 682-9122,"285 Grand St, New York, NY 10002",New York,NY,646682
1445980000051,A,(310) 398-7700,"12565 Washington Blvd, Los Angeles, CA 90066",Los Angeles,CA,310398
1445980000052,A & M Market ,(415) 931-2153,"1600 Sutter St, San Francisco, CA 94109",San Francisco,CA,415931
1445980000053,A Baker�۪s Tale ,(872) 206-5581,"2127 W Division St, Chicago, IL 60622",Chicago,IL,872206
1445980000054,A Chef In Your Kitchen ,(860) 967-5012,"231 North St, Dane, WI 53529",Dane,WI,860967
1445980000055,A Food Affair ,(310) 557-9795,"1515 S Robertson Blvd, Los Angeles, CA 90035",Los Angeles,CA,310557
1445980000056,A La Brasa ,(608) 251-1700,"15 N Broom St, Madison, WI 53703",Madison,WI,608251
1445980000057,A La Turca Restaurant ,(415) 345-1011,"869 Geary St, San Francisco, CA 94109",San Francisco,CA,415345
1445980000058,A Little Taste ,(212) 431-1000,"148 W 28th St, New York, NY 10001",New York,NY,212431
1445980000059,A New Leaf Flowers and Gifts ,(608) 221-8800,"4106 Monona Dr, Madison, WI 53716",Madison,WI,608221
1445980000060,A Pig In a Fur Coat ,(608) 316-3300,"940 Williamson St, Madison, WI 53703",Madison,WI,608316
1445980000061,A Taste Of Magic ,(559) 862-4424,"733 9th Ave, Manhattan, NY 10019",Manhattan,NY,559862
1445980000062,A W.'s review of Versailles Restauran,(310) 289-0392,"1415 S La Cienega Blvd, Los Angeles, CA 90035",Los Angeles,CA,310289
