ID,NAME,PHONENUMBER,ADDRESS,CITY,STATE,PHONEAREACODE,STATE_ENCODED_0,STATE_ENCODED_1,CITY_ENCODED
1450000000001,1ForTheRoad,(847) 488-9988,"751 N. State Street, IL",Elgin,IL,847488,0,1,607587.9454648369
1450000000002,110Bellevue,(626) 204-2266,"465 S Arroyo Parkway Pasadena, CA, ",California,CA,626204,0,2,551976.7988543888
1450000000003,1401West,(630) 573-8555,"Chicago Marriot Oakbrook, 1401 W. 22nd Street, Oak Brook, IL",Oak Brook,IL,630573,0,1,560083.2484224709
1450000000004,15Romolo,(415) 398-1359,"15 Romolo Place, San Francisco, CA",San Francisco,CA,415398,0,2,423290.6819966108
1450000000005,16Handles,(212) 213-1755,"428 3rd Avenue, New York, NY",New York,NY,212213,0,3,268251.2127659576
1450000000006,1601BarKitchen,(415) 552-1601,"1601 Howard Street, San Francisco, CA",San Francisco,CA,415552,0,2,423290.6819966108
1450000000007,1986estWineBarLounge,(212) 563-1500,"The Stanford Hotel, 43 W 32nd Street, New York, NY",New York,NY,212563,0,3,268251.2127659576
1450000000008,2AsianBrothers,(773) 681-0268,"3222 W. Foster Avenue, Chicago, IL",Chicago,IL,773681,0,1,602096.4060475162
1450000000009,2DuckGoose,(347) 987-4808,"400 4th Avenue, Brooklyn, NY",Brooklyn,NY,347987,0,3,650862.5810548888
1450000000010,21stAmendmentBrewery,(415) 369-0900,"563 2nd Street, San Francisco, CA",San Francisco,CA,415369,0,2,423290.6819966108
1450000000011,26BeachRestaurant,(310) 823-7526,"3100 Washington Blvd, Marina Del Rey, CA",Marina Del Rey,CA,310823,0,2,484476.5826718763
1450000000012,26thStreetSugarShack,(312) 225-6568,"630 W. 26th Street, Chicago, IL",Chicago,IL,312225,0,1,602096.4060475162
1450000000013,2beans,(212) 937-8914,"100 Park Avenue, NY",New York,NY,212937,0,3,268251.2127659576
1450000000015,3rdCoastCafeWineBar,(312) 649-0730,"1260 N. Dearborn Street, Chicago, IL",Chicago,IL,312649,0,1,602096.4060475162
